job_number,job_title,start_date,end_date,apply_link
1,İnsan resursları departamenti \ Əmək münasibətlərinin idarə edilməsi şöbəsi \ Mütəxəssis (İR məlumat bazası üzrə analitik),29.05.2024,18.06.2024,"https://www.cbar.az/hr/f?p=100:50::::50:P50_VACANCY_ID,P50_POSITION_ID:7522,300365\u0026p_dialog_cs=ZqCIt3YCUVqW13SHwYiXsAlEFAdsSIucs8gUydKgRapHd2szgSosBwAeLqEuNJzbODUS8MPRDgwIyWh5Sffuxg',{title:'Vakansiya t\u0259l\u0259bl\u0259ri',height:'700',width:'1024',maxWidth:'960',modal:true,dialog:null},'t-Dialog-page--standard '+'',apex.jQuery('#R463492870368915316'));"
2,Ödəniş xidmətləri və ödəniş sistemləri üzrə fəaliyyətə nəzarət və siyasət departamenti \ Ödəniş xidmətləri və ödəniş sistemlərinin fəaliyyətinin tənzimlənməsi şöbəsi \ Mütəxəssis,30.05.2024,19.06.2024,"https://www.cbar.az/hr/f?p=100:50::::50:P50_VACANCY_ID,P50_POSITION_ID:7526,300378\u0026p_dialog_cs=ZqCIt3YCUVqW13SHwYiXsAlEFAdsSIucs8gUydKgRapHd2szgSosBwAeLqEuNJzbODUS8MPRDgwIyWh5Sffuxg',{title:'Vakansiya t\u0259l\u0259bl\u0259ri',height:'700',width:'1024',maxWidth:'960',modal:true,dialog:null},'t-Dialog-page--standard '+'',apex.jQuery('#R463492870368915316'));"
3,Ödəniş xidmətləri və ödəniş sistemləri üzrə fəaliyyətə nəzarət və siyasət departamenti \ Ödəniş xidmətləri və ödəniş sistemlərinin fəaliyyətinin tənzimlənməsi şöbəsi \ Aparıcı mütəxəssis,30.05.2024,19.06.2024,"https://www.cbar.az/hr/f?p=100:50::::50:P50_VACANCY_ID,P50_POSITION_ID:7527,300377\u0026p_dialog_cs=ZqCIt3YCUVqW13SHwYiXsAlEFAdsSIucs8gUydKgRapHd2szgSosBwAeLqEuNJzbODUS8MPRDgwIyWh5Sffuxg',{title:'Vakansiya t\u0259l\u0259bl\u0259ri',height:'700',width:'1024',maxWidth:'960',modal:true,dialog:null},'t-Dialog-page--standard '+'',apex.jQuery('#R463492870368915316'));"
4,Ödəniş xidmətləri və ödəniş sistemləri üzrə fəaliyyətə nəzarət və siyasət departamenti \ Ödəniş xidmətləri və ödəniş sistemlərinin fəaliyyətinin tənzimlənməsi şöbəsi \ Böyük mütəxəssis,30.05.2024,19.06.2024,"https://www.cbar.az/hr/f?p=100:50::::50:P50_VACANCY_ID,P50_POSITION_ID:7528,300108\u0026p_dialog_cs=ZqCIt3YCUVqW13SHwYiXsAlEFAdsSIucs8gUydKgRapHd2szgSosBwAeLqEuNJzbODUS8MPRDgwIyWh5Sffuxg',{title:'Vakansiya t\u0259l\u0259bl\u0259ri',height:'700',width:'1024',maxWidth:'960',modal:true,dialog:null},'t-Dialog-page--standard '+'',apex.jQuery('#R463492870368915316'));"
5,Maliyyə sabitliyi departamenti \ Maliyyə sabitliyinin təhlili şöbəsi \ Böyük iqtisadçı (sığorta),30.05.2024,19.06.2024,"https://www.cbar.az/hr/f?p=100:50::::50:P50_VACANCY_ID,P50_POSITION_ID:7529,300382\u0026p_dialog_cs=ZqCIt3YCUVqW13SHwYiXsAlEFAdsSIucs8gUydKgRapHd2szgSosBwAeLqEuNJzbODUS8MPRDgwIyWh5Sffuxg',{title:'Vakansiya t\u0259l\u0259bl\u0259ri',height:'700',width:'1024',maxWidth:'960',modal:true,dialog:null},'t-Dialog-page--standard '+'',apex.jQuery('#R463492870368915316'));"
6,İstehlakçılarla iş departamenti \ Maliyyə xidmətləri istehlakçılarının hüquqlarının müdafiəsi şöbəsi \ Mütəxəssis,31.05.2024,20.06.2024,"https://www.cbar.az/hr/f?p=100:50::::50:P50_VACANCY_ID,P50_POSITION_ID:7532,138063\u0026p_dialog_cs=ZqCIt3YCUVqW13SHwYiXsAlEFAdsSIucs8gUydKgRapHd2szgSosBwAeLqEuNJzbODUS8MPRDgwIyWh5Sffuxg',{title:'Vakansiya t\u0259l\u0259bl\u0259ri',height:'700',width:'1024',maxWidth:'960',modal:true,dialog:null},'t-Dialog-page--standard '+'',apex.jQuery('#R463492870368915316'));"
7,İnsan resursları departamenti \ İnsan kapitalının inkişafı və əməkdaşların işə bağlılığı şöbəsi \ Mütəxəssis,04.06.2024,24.06.2024,"https://www.cbar.az/hr/f?p=100:50::::50:P50_VACANCY_ID,P50_POSITION_ID:7537,297523\u0026p_dialog_cs=ZqCIt3YCUVqW13SHwYiXsAlEFAdsSIucs8gUydKgRapHd2szgSosBwAeLqEuNJzbODUS8MPRDgwIyWh5Sffuxg',{title:'Vakansiya t\u0259l\u0259bl\u0259ri',height:'700',width:'1024',maxWidth:'960',modal:true,dialog:null},'t-Dialog-page--standard '+'',apex.jQuery('#R463492870368915316'));"
8,Maliyyə sabitliyi departamenti \ Makro-maliyyə risklərinin modelləşdirilməsi şöbəsi \ Böyük iqtisadçı (bazar və likvidlik riskləri üzrə),14.06.2024,04.07.2024,"https://www.cbar.az/hr/f?p=100:50::::50:P50_VACANCY_ID,P50_POSITION_ID:7565,300447\u0026p_dialog_cs=ZqCIt3YCUVqW13SHwYiXsAlEFAdsSIucs8gUydKgRapHd2szgSosBwAeLqEuNJzbODUS8MPRDgwIyWh5Sffuxg',{title:'Vakansiya t\u0259l\u0259bl\u0259ri',height:'700',width:'1024',maxWidth:'960',modal:true,dialog:null},'t-Dialog-page--standard '+'',apex.jQuery('#R463492870368915316'));"
9,Maliyyə sabitliyi departamenti \ Makro-maliyyə risklərinin modelləşdirilməsi şöbəsi \ Böyük iqtisadçı (makroiqtisadiyyatçı),14.06.2024,04.07.2024,"https://www.cbar.az/hr/f?p=100:50::::50:P50_VACANCY_ID,P50_POSITION_ID:7567,300446\u0026p_dialog_cs=ZqCIt3YCUVqW13SHwYiXsAlEFAdsSIucs8gUydKgRapHd2szgSosBwAeLqEuNJzbODUS8MPRDgwIyWh5Sffuxg',{title:'Vakansiya t\u0259l\u0259bl\u0259ri',height:'700',width:'1024',maxWidth:'960',modal:true,dialog:null},'t-Dialog-page--standard '+'',apex.jQuery('#R463492870368915316'));"
10,Maliyyə sabitliyi departamenti \ Maliyyə sabitliyinin təhlili şöbəsi \ Böyük iqtisadçı (bank üzrə),14.06.2024,04.07.2024,"https://www.cbar.az/hr/f?p=100:50::::50:P50_VACANCY_ID,P50_POSITION_ID:7569,300448\u0026p_dialog_cs=ZqCIt3YCUVqW13SHwYiXsAlEFAdsSIucs8gUydKgRapHd2szgSosBwAeLqEuNJzbODUS8MPRDgwIyWh5Sffuxg',{title:'Vakansiya t\u0259l\u0259bl\u0259ri',height:'700',width:'1024',maxWidth:'960',modal:true,dialog:null},'t-Dialog-page--standard '+'',apex.jQuery('#R463492870368915316'));"
11,Kapital bazarı fəaliyyətinə dair siyasət və tənzimlənmə departamenti \ Prudensial siyasət şöbəsi \ Aparıcı analitik,14.06.2024,04.07.2024,"https://www.cbar.az/hr/f?p=100:50::::50:P50_VACANCY_ID,P50_POSITION_ID:7573,300069\u0026p_dialog_cs=ZqCIt3YCUVqW13SHwYiXsAlEFAdsSIucs8gUydKgRapHd2szgSosBwAeLqEuNJzbODUS8MPRDgwIyWh5Sffuxg',{title:'Vakansiya t\u0259l\u0259bl\u0259ri',height:'700',width:'1024',maxWidth:'960',modal:true,dialog:null},'t-Dialog-page--standard '+'',apex.jQuery('#R463492870368915316'));"
12,Kapital bazarı fəaliyyətinə dair siyasət və tənzimlənmə departamenti \ Prudensial siyasət şöbəsi \ Böyük analitik,14.06.2024,04.07.2024,"https://www.cbar.az/hr/f?p=100:50::::50:P50_VACANCY_ID,P50_POSITION_ID:7574,300067\u0026p_dialog_cs=ZqCIt3YCUVqW13SHwYiXsAlEFAdsSIucs8gUydKgRapHd2szgSosBwAeLqEuNJzbODUS8MPRDgwIyWh5Sffuxg',{title:'Vakansiya t\u0259l\u0259bl\u0259ri',height:'700',width:'1024',maxWidth:'960',modal:true,dialog:null},'t-Dialog-page--standard '+'',apex.jQuery('#R463492870368915316'));"
